Albany-Schenectady NY,Med,1982,500,54,187,2450,2750,7.20,43.08,1.44,1.34,,,,1141,69,2,62,2292,69,7,82,1.03,76,1.04,90,,,132,69,273,69
Albany-Schenectady NY,Med,1983,495,57,188,2495,2840,7.43,44.23,1.38,1.28,,,,1190,70,2,68,2389,70,7,85,1.03,80,1.04,91,,,133,70,276,70
Albany-Schenectady NY,Med,1984,475,59,181,2740,2900,7.75,46.47,1.35,1.25,,,,1265,72,3,54,2540,72,8,83,1.03,85,1.05,88,,,136,71,281,75
Albany-Schenectady NY,Med,1985,475,60,183,3040,2920,8.03,47.83,1.34,1.24,,,,1537,70,3,63,3087,70,10,80,1.04,81,1.05,91,,,159,69,330,70
Albany-Schenectady NY,Med,1986,480,61,186,3270,2950,8.18,46.57,1.02,0.95,,,,1642,71,3,71,3297,71,10,83,1.04,85,1.06,86,,,167,70,346,71
Albany-Schenectady NY,Med,1987,480,64,187,3645,2980,8.48,48.53,1.05,0.97,,,,1812,70,4,55,3639,72,11,82,1.04,89,1.06,89,,,178,70,368,71
Albany-Schenectady NY,Med,1988,485,64,191,3800,3000,8.83,50.04,1.04,0.97,,,,2128,70,4,66,4273,68,13,80,1.05,84,1.07,82,,,201,68,415,69
Albany-Schenectady NY,Med,1989,490,63,194,3990,3105,9.25,52.81,1.13,1.05,,,,2288,70,5,57,4595,70,14,80,1.05,87,1.07,89,,,206,69,426,71
Albany-Schenectady NY,Med,1990,490,64,196,4160,3300,9.75,55.03,1.07,1.09,,,,2796,67,6,51,5614,68,17,71,1.06,86,1.08,84,,,238,68,493,63
Albany-Schenectady NY,Med,1991,490,64,199,4260,3500,10.17,57.31,1.21,1.35,,,,2951,69,6,58,5925,68,17,78,1.07,81,1.08,89,,,241,70,500,65
Albany-Schenectady NY,Med,1992,490,64,201,4405,3700,10.47,59.01,1.24,1.00,,,,3137,68,6,63,6298,69,18,80,1.07,82,1.09,84,,,249,69,516,68
Albany-Schenectady NY,Med,1993,490,65,204,4520,3750,10.78,60.84,1.21,1.13,,,,3234,71,7,59,6494,70,19,78,1.07,83,1.09,90,,,249,72,516,72
Albany-Schenectady NY,Med,1994,495,65,208,4605,3800,11.06,62.23,1.15,1.07,,,,3561,70,7,65,7151,70,20,80,1.08,80,1.10,87,,,268,70,554,72
Albany-Schenectady NY,Med,1995,495,66,211,4625,3900,11.37,64.27,1.27,1.19,,,,3725,70,8,62,7480,72,21,78,1.08,84,1.10,88,,,272,70,564,74
Albany-Schenectady NY,Med,1996,495,66,214,4850,3950,11.71,66.20,1.37,1.28,,,,3958,72,8,70,7946,72,22,79,1.09,79,1.10,90,,,281,72,582,74
Albany-Schenectady NY,Med,1997,500,67,218,4975,4100,11.98,66.83,1.31,1.39,,,,4203,72,9,68,8439,72,23,77,1.09,83,1.11,89,,,292,72,604,77
Albany-Schenectady NY,Med,1998,505,68,224,5150,4280,12.17,65.76,1.15,1.29,,,,4799,71,10,66,9635,69,26,72,1.10,80,1.12,85,,,328,70,679,74
Albany-Schenectady NY,Med,1999,510,68,229,5330,4350,12.43,66.76,1.19,1.24,,,,5082,72,11,63,10204,71,27,73,1.11,78,1.12,90,,,340,71,704,75
Albany-Schenectady NY,Med,2000,515,68,234,5500,4375,12.85,70.47,1.64,1.65,,,,5691,68,12,60,11428,68,29,72,1.12,77,1.13,85,,,368,67,762,73
Albany-Schenectady NY,Med,2001,520,68,239,5730,4400,13.22,71.38,1.72,1.70,,,,6072,66,13,58,12192,66,31,70,1.12,78,1.14,85,,,382,67,791,72
Albany-Schenectady NY,Med,2002,530,68,247,5820,4450,13.43,70.86,1.49,1.51,,,,6560,66,14,55,13172,65,32,69,1.13,75,1.15,82,,,406,65,841,69
Albany-Schenectady NY,Med,2003,545,67,257,6000,4475,13.73,72.23,1.62,1.73,,,,7466,63,15,52,14991,63,36,53,1.14,72,1.16,74,,,452,64,936,60
Albany-Schenectady NY,Med,2004,560,66,265,6210,4660,14.10,74.17,2.14,2.14,,,,8065,60,17,43,16193,62,37,53,1.15,66,1.16,77,,,476,60,985,53
Albany-Schenectady NY,Med,2005,575,66,274,6400,4800,14.58,78.05,2.40,2.66,,,,8976,55,19,30,18023,57,40,42,1.16,61,1.18,68,,,512,57,1060,41
Albany-Schenectady NY,Med,2006,590,66,283,6755,5205,15.06,80.43,2.82,3.03,,,,9299,56,19,33,18671,57,41,42,1.16,63,1.18,72,,,514,58,1063,36
Albany-Schenectady NY,Med,2007,600,65,289,7005,5260,15.47,82.56,3.19,3.71,,,,9562,57,20,26,19199,57,41,46,1.16,66,1.18,75,,,514,58,1064,38
Albany-Schenectady NY,Med,2008,605,66,293,6970,5115,16.10,81.52,3.55,4.52,,,,9605,58,20,30,19285,59,41,45,1.16,68,1.18,72,,,497,58,1029,39
Albany-Schenectady NY,Med,2009,605,66,294,7000,5300,16.01,89.75,2.47,2.90,,,,9480,57,20,24,19035,58,40,42,1.16,56,1.18,62,,,493,58,1020,37
Albany-Schenectady NY,Med,2010,610,67,298,7161,5429,16.30,88.12,2.95,3.21,,,,9554,57,20,27,19184,59,40,43,1.16,57,1.17,74,,,488,59,1011,38
Albany-Schenectady NY,Med,2011,610,66,299,7173,5501,16.79,86.81,3.65,3.99,,,,9650,58,20,30,19376,59,40,44,1.16,61,1.18,66,,,478,59,990,39
